job_name,#unnecessary_files_without_maven,#unnecessary_files_with_maven,#useful_file_with_maven
Algorithms_check-build.csv,7,6,6
JSqlParser_maven-build_java_11.csv,816,26,113
JSqlParser_maven-build_java_8.csv,817,27,111
Mybatis-PageHelper_pull-request-mvnverify.csv,12,14,58
UniversalMediaServer_ci.yaml-linuxbionic_java-version_17.csv,39,6,19
UniversalMediaServer_ci.yaml-linuxfocal_java-version_17.csv,38,6,19
cucumber-java-skeleton_build-build.csv,15,2,6
dynamic-datasource-spring-boot-starter_maven-build.csv,12,2,2
fabric-sdk-java_build-test_java-version_11.csv,63,80,107
fabric-sdk-java_build-test_java-version_17.csv,61,74,104
fabric-sdk-java_build-test_java-version_8.csv,63,71,106
github-api_codeql-analysis-analyze_language_java.csv,0,3,2
github-api_maven-build-test_os_ubuntu_java_11.csv,0,17,142
github-api_maven-build-site_java_11.csv,0,393,5
github-api_maven-build-test_os_ubuntu_java_17.csv,0,17,141
github-api_maven-build-test8_os_ubuntu_java_8.csv,0,27,143
junit4_main-buildandverify_java_11.csv,27,113,791
junit4_main-buildandverify_java_17.csv,28,120,768
junit4_main-buildandverify_java_18.csv,28,82,770
junit4_main-buildandverify_java_8.csv,29,94,786
jv-fruit-shop_ci-build.csv,6,3,4
kafdrop_pull_request-build.csv,18,8,5
matsim-example-project_maven-build.csv,17,2,5
mcMMO_maven-compile.csv,12,4,5
mooc-software-testing_maven-build.csv,10,8,19
open-location-code_main-testrust.csv,38,325,394
open-location-code_main-testjava_java_11.csv,39,6,10
open-location-code_main-testjava_java_16.csv,37,6,10
open-location-code_main-testjava_java_17.csv,38,6,10
open-location-code_main-testjava_java_8.csv,36,6,10
pipelines-java_codeql-analysis-analyze_language_java.csv,5,3,3
socket.io-client-java_ci-verify_java_11.csv,11,19,10
socket.io-client-java_ci-verify_java_7.csv,11,19,10
socket.io-client-java_ci-verify_java_8.csv,11,19,10
soot_ci-BuildAndTest_java_version_11.csv,82,1600,1378
soot_ci-BuildAndTest_java_version_8.csv,79,1601,1362
soot_ci-BuildAndTest_java_version_9.csv,81,1599,1346
spring-framework-petclinic_maven-build-build.csv,13,17,19
spring-petclinic-rest_maven-build-build.csv,16,7,8
symphony_ci-build.csv,15,3,3
